,Timestamp,MatCode,Base,Length (m),Print and Dye,Stitch and Applique,Tailoring,Added expenses,Production cost,Added_to_catalogue,MatMaster
0,11/13/2022 23:56:23,CS-2-P1,522.5,5.5,150.0,,0,68.25,740.75,1.0,
1,11/13/2022 23:59:46,MC-1-P1,770.0,5.5,150.0,,0,68.25,988.25,1.0,
2,11/13/2022 00:00:59,MC-2-P1,770.0,5.5,150.0,,0,68.25,988.25,,
3,11/13/2022 00:02:24,CS-1-P1,522.5,5.5,150.0,,0,68.25,740.75,1.0,
4,01/21/2023 19:47:51,KC-2-P1,616.0,5.5,300.0,615.0,0,0.0,1531.0,1.0,
5,04/27/2023 10:51:48,CA-1-P1,165.0,1.0,,250.0,0,0.0,415.0,,KC-2
6,12/08/2022 20:48:33,GS-1-P1,0.0,5.5,180.0,,0,25.0,205.0,1.0,
7,05/06/2023 12:25:41,MC-3-P1,140.0,1.0,80.0,100.0,0,37.85416667,357.8541667,1.0,GS-1-P1
8,10/08/2023 20:24:48,MC-4-P1,140.0,1.0,,50.0,0,0.0,190.0,1.0,GS-1-P1
9,12/08/2022 16:48:36,SC-1-P1,4041.231442,41.25,2250.0,270.0,0,25.0,6586.231442,,
10,12/01/2022 23:31:00,SC-2-P1,3230.022321,41.25,,,0,72.4,3302.422321,,SC-1
11,12/08/2022 23:30:18,CaC-1-P1,1408.0,16.0,540.0,,0,25.0,1973.0,,SC-1-P1
12,12/08/2022 23:36:18,AM-1-P1,577.5,5.5,700.0,,0,98.0,1375.5,1.0,
13,01/21/2023 00:29:11,ArS-1-P1,60.0,1.0,,0.0,0,0.0,60.0,1.0,CS-2-P1
14,01/21/2023 00:31:09,ArS-2-P1,60.0,1.0,,0.0,0,0.0,60.0,1.0,CS-1-P1
15,,ArS-3-P1,60.0,1.0,,,0,,,,MC-2-P1
16,12/08/2023 01:40:08,ArS-5-P1,60.0,1.0,,0.0,0,0.0,60.0,1.0,MC-1-P1
17,,ArS-6-P1,60.0,1.0,,,0,,,,FS-1-P1
