Timestamp,MatCode,Base,Length (m),Print and Dye,Remarks,Stitch and Applique,Remarks,Added expenses,Production cost,Added_to_catalogue,MatMaster,Remarks,
11/13/2022 23:56:23,CS-2-P1,522.5,5.5,150,madhuvani-block-print-with-brown-and-firozi-color,,,68.25,740.75,1,,,
11/13/2022 23:59:46,MC-1-P1,770,5.5,150,madhuvani-block-print-with-brown-and-royalblue-color,,,68.25,988.25,1,,,
11/13/2022 00:00:59,MC-2-P1,770,5.5,150,leafy-buildings-block-print-with-violet-and-black-color,550,stitching-and-tailoring,68.25,1538.25,1,,,
11/13/2022 00:02:24,CS-1-P1,522.5,5.5,150,leafy-buildings-block-print-with-royalblue-and-black-color,,,68.25,740.75,1,,,
01/21/2023 19:47:51,KC-2-P1,616,5.5,300,block-printed-in-blue-abstract,615,applique-with-red-flower,0,1531,1,,,
04/27/2023 10:51:48,CA-1-P1,165,1,,,250,tailoring-stitching,0,415,,KC-2,applique, 
12/08/2022 20:48:33,GS-1-P1,0,5.5,180,block-printed-in-maroon-kolka,,,25,205,1,,,
05/06/2023 12:25:41,MC-3-P1,140,1,80,hand-block-printed-gradient-trees-and-leaves,100,tailoring-stitching,37.85416667,357.8541667,1,GS-1-P1,blouse,
10/08/2023 20:24:48,MC-4-P1,140,1,,,50,stitching-and-tailoring,0,190,1,GS-1-P1,blouse,
12/08/2022 16:48:36,SC-1-P1,4041.231442,41.25,2250,Block-printed-with-royal-blue-and-black,270,stitch-join-half-saree,25,6586.231442,,,,
12/01/2022 23:31:00,SC-2-P1,3230.022321,41.25,,,,,72.4,3302.422321,,SC-1,half-saree,
12/08/2022 23:30:18,CaC-1-P1,1408,16,540,block-printed-with-black-and-white-zigzag-lines,,,25,1973,,SC-1-P1,blouse,
12/08/2022 23:36:18,AM-1-P1,577.5,5.5,700,hand-paint-of-lord-krishna-playing-flute-with-the-symbolic-peacock-feathers-in-blue-green-yellow-and-black,,,98,1375.5,1,,,
01/21/2023 00:29:11,ArS-1-P1,60,1,,,0,stitching,0,60,1,CS-2-P1,blouse,
01/21/2023 00:31:09,ArS-2-P1,60,1,,,0,stitching,0,60,1,CS-1-P1,blouse,
04/01/2024 20:58:23,ArS-3-P1,60,1,,,350,stitching-and-tailoring,0,410,1,MC-2-P1,blouse,
12/08/2023 01:40:08,ArS-5-P1,60,1,,,0,stitching-and-tailoring,0,60,1,MC-1-P1,blouse,
,ArS-6-P1,60,1,,,,,,,,FS-1-P1,blouse,
02/14/2023 13:02:54,SC-1-P2,195.9384942,2,80,block-printed-abstract-face-in-black-with-leafy-green-borders,250,stitching,25,550.9384942,1,,,
02/14/2023 13:03:43,SC-1-P3,156.7507953,1.6,80,abstract-block-print-in-black-with-green-twigs-coming-out,250,stitching,25,511.7507953,1,,,      
12/08/2022 20:23:18,CSC-1-P1,269.5,2.75,180,abstract-hand-block-printed-with-firozi-and-black,20,stitch-join-half-saree,25,494.5,1,,,
01/21/2023 00:43:46,CSC-2-P1,316.25,2.75,,,350,stitched-leaves-in-vertical-stem,0,666.25,,CSC-1-P1,half-saree,
01/21/2023 00:47:01,CSC-2-P2,316.25,2.75,,,250,random-spirals-stitched-all-over,0,566.25,,CSC-3-P1,half-saree,
12/08/2022 20:24:05,CSC-3-P1,316.25,2.75,180,abstract-hand-block-printed-with-firozi-and-black,20,stitch-join-half-saree,25,541.25,,,,
12/04/2022 19:07:20,CS-4-P1,1015.384615,5.5,420,"ajraak-block-print-with-firozi,-yellow,-and-maroon",,,50,1485.384615,1,,,
01/20/2023 18:48:51,CS-4-P2,184.6153846,1,100,ajraak-block-print-with-firozi-and-black,,,83.33333333,367.9487179,1,CS-4-P1,blouse,
01/21/2023 00:39:56,CSC-1-P2,122.5,1.25,100,floral-block-print-in-firozi,,,0,222.5,1,CSC-1-P1,blouse,
25/07/2023 17:56:23,R-2-P1,852.5,5.5,180,abstract-rhombus-shaped-block-print-in-black,100,stitching-and-tailoring,0,1132.5,1,,,
02/10/2023 21:41:07,SC-1-P4,195.9384942,2,80,block-printed-in-black-abstract,100,stitching-and-tailoring,0,375.9384942,1,SC-2-P2,kurti-pant,
,SC-1-P5,48.98462354,0.5,,,,,,,,,,
,CaC-1-P2,176,2,,,,,,,,,,
,CaC-1-P3,176,2,,,,,,,,,,
02/10/2023 21:41:56,SC-2-P2,156.6071429,2,80,block-printed-dolls-in-blue,150,stitching-and-tailoring,0,386.6071429,1,,,
12/08/2022 20:12:17,T-1-P1,0,5.5,250,discharge-on-chocolate-brown,,,25,275,1,,,
12/08/2022 20:33:26,MS-1-P1,250,2,80,hand-block-printed-free-birds-in-front-and-caged-birds-at-back,,,25,355,1,,  ,
12/08/2022 22:20:12,C-1-P1,300,2.5,192.5,block-printed-red-rose-on-beige-base,,,25,517.5,,,,
12/08/2022 22:21:14,C-1-P2,300,2.5,192.5,block-printed-kolka-on-beige-base,,,25,517.5,,C-1-P1,kurti-piece,
,C-1-P3,300,2.5,,,,,,,,,,
,C-1-P4,420,3.5,,,,,,,,,,
12/08/2022 22:29:32,M-2-P1,125,2.3,50,red-dye,,,25,200,,C-1-P1,dupatta,
12/08/2022 22:46:16,PC-1-P1,583.8461541,5.5,427.5,dyed-with-mauve-color.-floral-block-print-with-violet-in-the-body-and-with-black-in-the-pallu,,,25,1036.346154,1,,,
12/08/2022 23:22:49,CC-5-P1,360,5.5,427.5,abstract-block-print-on-black-and-white-dye,,,25,812.5,,,,
12/17/2022 20:36:12,MS-1-P2,275,2.2,100,"block-printed-with-Pharaoh,-and-Hyroglifics-in-the-theme-of-Egypt.",,,50.22222222,425.2222222,,,,
12/17/2022 20:45:44,M-1-P1,275,5.5,200,traditional-folk-musicians-block-printed-in-yellow-and-green-through-the-middle.-Abstract-prints-in-the-surrounding-area.,,,50.22222222,525.2222222,1,,,
12/23/2022 10:14:16,PC-2-P1,423.0769231,5.5,250,block-printed-in-dark-green-and-light-green-plants.-The-border-is-in-brown-color.,,,25,698.0769231,1,,,
12/23/2022 10:15:51,PC-2-P2,76.92307692,1,100,block-printed-with-white-flowers-on-the-background-of-deep-yellow.,,,25,201.9230769,1,PC-2-P1,blouse,
12/23/2022 10:22:59,PS-1-P1,2295.468067,5.5,300,floral-block-print-with-yellow-white-and-green-colors-on-the-base-of-charming-red.-The-border-is-printed-in-yellow-and-green.,,,25,2620.468067,1,,,
12/23/2022 10:25:06,PS-1-P2,354.7541558,0.85,100,sleeve-edges-and-waist-part-is-printed-in-green-and-yellow-on-the-base-of-red.,,,25,479.7541558,1,PS-1-P1,blouse,
02/14/2023 11:57:08,CaC-2-P1,513.0506667,5.7,600,abstract-arrow-pattern-discharge-on-black-dye,500,stitching,24,1637.050667,1,,,
02/13/2023 01:06:04,CaC-2-P2,252.0248889,2.8,180,"dye-in-grey-,-block-printed-abstract-black-and-red-geometric-patterns",,,24,456.0248889,1,,,
02/13/2023 01:06:04,CaC-2-P3,252.0248889,2.8,180,"dye-in-mustard-yellow-,-block-printed-red-flowers-and-black-abstract-borders",,,24,456.0248889,,,,
02/14/2023 12:02:52,CaC-2-P4,225.0222222,2.5,300,abstract-arrow-pattern-discharge-on-bottle-green-dye,250,stitching,24,799.0222222,1,,,
02/13/2023 01:06:04,CaC-2-P5,225.0222222,2.5,100,grey-dye,,,24,349.0222222,,CaC-2-P4,ladies-kurti,
02/14/2023 12:19:40,MS-2-P1,206.358876,1.85,80,block-printed-abstract-steps-in-blue,250,stitching,24,560.358876,1,,,
02/14/2023 12:33:59,FC-1-P1,275.2222223,2.5,180,block-printed-in-Sanskrit-dialect-and-painted-om,250,stitching,24,729.2222223,1,,,
12/08/2023 01:20:09,MS-3-P1,219.1322752,2,50,block-printed-king-cards-and-spade-symbols,250,stitching-and-tailoring,0,519.1322752,1,,,
02/13/2023 01:06:04,MS-3-P2,109.5661376,1,30,block-printed-abstract-dots,,,24,163.5661376,,,,
,R-3-P1,246.1538461,1.6,,,,,,,,,,
,MC-9-P1,331.5155624,2.75,,,,,,,,,,
02/13/2023 01:06:04,HT-2-P1,604.7966752,2.18,100,"block-printed-with-Pharaoh,-and-Hyroglifics-in-the-theme-of-Egypt-in-brown.",,,24,728.7966752,,,,
02/13/2023 01:06:04,MC-5-P1,652.5299737,5.5,200,block-printed-in-the-impression-of-birds-flying-out-from-branches-toward-open-blue-sky.,,,24,876.5299737,,,,
