Timestamp,MatCode,Source,Fabric,Color,Length (m),Price,PPL (Price per Length),(AEPL) Added expenses per Length,TPPL (Total Price per Length)
11/11/2022 00:24:57,KC-1,Sasta-Khadi-Bhandar,Khadi-cotton,Grey,1.0,120.0,120.0,,120
11/11/2022 00:29:52,KC-2,Sasta-Khadi-Bhandar,Khadi-cotton,Pink,1.0,112.0,112.0,,112
11/11/2022 00:34:07,CC-1,Bhagaban-Fulia,Comfortable-cotton,Bottle-green,0.0,0.0,55.38461538,,55.38461538
11/11/2022 00:35:03,CC-2,Bhagaban-Fulia,Comfortable-cotton,Dark-red,0.0,0.0,55.38461538,,55.38461538
11/11/2022 00:42:48,CC-3,Bhagaban-Fulia,Comfortable-cotton,Bottle-green,6.5,360.0,55.38461538,,55.38461538
11/11/2022 00:43:14,CC-4,Bhagaban-Fulia,Comfortable-cotton,Violet,1.0,55.38461538,55.38461538,,55.38461538
11/12/2022 18:50:14,MC-1,Handloom-cottage,Malai-cotton,Green,0.0,0.0,140.0,,140
11/12/2022 18:56:06,MC-2,Handloom-cottage,Malai-cotton,Lilac,0.0,0.0,140.0,,140
11/12/2022 19:00:23,M-1,Handloom-cottage,Malmal,white,0.0,0.0,50.0,,50
11/12/2022 19:01:41,CS-1,Handloom-cottage,Cotton-silk,Red,0.0,0.0,95.0,,95
11/12/2022 19:03:05,FR-1,Handloom-cottage,Flat-ribela,Bottle-green,5.5,742.5,135.0,,135
11/12/2022 19:05:17,FS-1,Handloom-cottage,Fiona-Silk,Deep-red,0.0,0.0,155.0,,155
11/12/2022 19:07:48,MS-1,Handloom-cottage,Mahi-silk,Mustard-yellow,1.3,162.5,125.0,,125
11/12/2022 19:09:41,R-1,Handloom-cottage,Ribela,Dark-green,0.0,0.0,155.0,,155
11/12/2022 19:12:50,R-2,Handloom-cottage,Ribela,Brick-red,0.0,0.0,155.0,,155
11/12/2022 19:14:43,CS-2,Handloom-cottage,Cotton-silk,Beige,0.0,0.0,95.0,,95
11/12/2022 19:34:25,LM-1,Handloom-cottage,Linen-mathi,Red,5.5,852.5,155.0,,155
11/12/2022 19:40:04,KS-1,Handloom-cottage,Kota-silk,Pink,0.0,0.0,85.0,,85
11/12/2022 19:40:43,KS-2,Handloom-cottage,Kota-silk,Orange,0.0,0.0,85.0,,85
11/15/2022 23:57:16,SC-1,Handloom-cottage,South-cotton,Pesta-beige,0.0,0.0,94.83032874,3.138918346,97.96924708
11/15/2022 23:58:44,SC-2,Handloom-cottage,South-cotton,Blue,1.55,116.25,75.0,3.303571429,78.30357143
11/19/2022 17:36:00,KoC-1,Handloom-cottage,Kota-cotton,white,0.0,0.0,95.0,,95
11/19/2022 17:39:26,AM-1,Handloom-cottage,Apple-maslin,white,0.0,0.0,105.0,,105
11/30/2022 13:24:46,CSC-1,Handloom-cottage,Cotton-silk-chanderi,beige,0.0,0.0,98.0,,98
11/30/2022 13:26:20,CSC-2,Handloom-cottage,Cotton-silk-chanderi,dark-green,0.0,0.0,115.0,,115
11/30/2022 13:27:33,CSC-3,Handloom-cottage,Cotton-silk-chanderi,light-green,0.0,0.0,115.0,,115
11/30/2022 14:11:59,CaC-1,Handloom-cottage,Cambridge-cotton,white,0.0,0.0,88.0,20.0,88
11/30/2022 14:23:07,FR-2,Handloom-cottage,Flat-ribela,dark-firozi,0.0,0.0,135.0,,135
11/30/2022 14:24:27,MC-3,Handloom-cottage,Malai-cotton,lime-green,0.0,0.0,140.0,,140
11/30/2022 14:24:57,MC-4,Handloom-cottage,Malai-cotton,Maroon,0.0,0.0,140.0,,140
11/30/2022 14:27:03,AS-1,Handloom-cottage,Alia-satin,multicolor-cow-print,1.0,130.0,130.0,,130
11/30/2022 14:29:11,TS-1,Handloom-cottage,Tissue-satin,multicolor-box-print,2.25,337.5,150.0,,150
11/30/2022 14:34:25,PG-1,Handloom-cottage,Pleated-Georgette,Beige,0.0,0.0,255.0,,255
11/30/2022 14:56:58,GS-1,Rama-train,Gorod-saree,off-white,0.0,0.0,0.0,,0
12/01/2022 00:55:50,CA-1,Handloom-cottage,Cotton-ajrak,Floral-print,0.0,0.0,165.0,72.4,#DIV/0!
12/02/2022 07:37:05,ArS-1,Handloom-cottage,Art-silk,dark-firoji,1.5,90.0,60.0,,60
12/02/2022 07:37:38,ArS-2,Handloom-cottage,Art-silk,royal-blue,1.5,90.0,60.0,,60
12/02/2022 07:38:06,ArS-3,Handloom-cottage,Art-silk,dark-violet,1.5,90.0,60.0,,60
12/02/2022 07:38:30,ArS-4,Handloom-cottage,Art-silk,grey,1.5,90.0,60.0,,60
12/02/2022 07:39:01,ArS-5,Handloom-cottage,Art-silk,wine-color,0.0,0.0,60.0,,60
12/02/2022 07:40:54,ArS-6,Handloom-cottage,Art-silk,dark-brown,1.5,90.0,60.0,,60
12/04/2022 19:02:28,CS-4,Sasta-Khadi-Bhandar,Cotton-silk,off-white,0.0,0.0,184.6153846,,184.6153846
12/05/2022 22:16:38,R-3,Handloom-cottage,Ribela,Beige,1.0,153.8461538,153.8461538,,153.8461538
12/08/2022 20:08:41,T-1,Bandita-madam,Tasaar,off-white,0.0,0.0,0.0,,0
12/08/2022 21:59:18,C-1,Burabazar,Cotton,white,0.0,0.0,120.0,,120
12/08/2022 22:28:37,M-2,Handloom-cottage,Malmal,white,0.0,0.0,54.34782609,,54.34782609
12/08/2022 22:33:12,PC-1,Burabazar,Pure-cotton,white,1.0,106.1538462,106.1538462,25.0,131.1538462
12/08/2022 22:48:15,CC-5,Bhagaban-Fulia,Comfortable-cotton,white,0.0,0.0,65.45454545,,65.45454545
12/17/2022 19:46:23,CaC-2,Handloom-cottage,Cambridge-cotton,white,5.7,501.6,88.0,2.008888889,90.00888889
12/17/2022 19:48:39,MS-2,Handloom-cottage,Mahi-silk,sky-blue,2.5,250.0,100.0,11.54533844,111.5453384
