TimeStamp,MatCode,Model No.,Category,Name,Description,Quantity,Price,Image,MasterModel,Remarks,Sold Price
12/05/2022 01:52:54,CS-4-P1,OW0-CS-1,outfit > women > saree,XXX,"This exquisite saree is crafted from a subtle blend of cotton and silk. Its elegant off white base pairs perfectly with the intricate ajraak block print in mesmerizing hues of firozi, yellow and maroon. Its delicate beauty and intricate detailing is sure to make you stand out.",1,2285.384615,,,,
12/05/2022 02:05:23,CS-2-P1,OW0-CS-2,outfit > women > saree,YYY,"This beige cotton silk saree is adorned with a madhuvani block print in shades of brown and firozi, giving it a subtle and delicate elegance. The fabric shines, giving the outfit an alluring touch of sophistication.",1,1540.75,,,,
12/05/2022 02:09:26,CS-1-P1,OW0-CS-3,outfit > women > saree,ZZZ,This saree features a beautiful cotton silk fabric in a deep and vibrant red. The art-work is a stunning combination of leafy buildings block print in complementary royalblue and black colors. It's a perfect combination of classic elegance and modern style.,1,1540.75,,,,
12/05/2022 18:53:27,MC-1-P1,OW0-MC-1,outfit > women > saree,Emerald Wine,"Rich malai cotton draped gracefully in a classic saree with a light emerald green base, inlaid with meandering lines of brown and royalblue in striking madhuvani block print pattern. A timeless ensemble for any occasion.",1,1788.25,,,,
12/09/2022 15:23:53,T-1-P1,OW0-T-1,outfit > women > saree,Tassar Brownie,,1,950,,,,
12/17/2022 21:05:43,GS-1-P1,OW0-GS-1,outfit > women > saree,Gorod Saree,,1,850,,,,
12/17/2022 22:06:08,MC-4-P1,OW1-MC-1,outfit > women > designer-blouse,Designer Blouse,,1,650,,,,
12/23/2022 10:29:13,PC-2-P1,OW0-PC-1,outfit > women > saree,Greenymph,"The white cotton saree has a serene beauty. The dark green and light green plant designs, block-printed on it make it look vibrant. The brown border adds a unique charm and enhances the overall look of the saree.",1,1198.076923,,,,
12/23/2022 10:31:26,PC-2-P2,OW1-PC-1,outfit > women > designer-blouse,,"This pure cotton blouse is vivid and captivating. The base color of white is delicately adorned with block printed white flowers on a deep yellow backdrop. Bright and graceful, this blouse is sure to make a statement.",1,701.9230769,,,,
12/23/2022 10:58:22,PS-1-P1,OW0-PS-1,outfit > women > saree,Floral-patli-pallu,"This exquisite saree is an ideal combination of grace and beauty. Crafted from pure silk, its immaculate red base is adorned with an exquisite floral block print in shades of yellow, white and green. The border is further enhanced with a subtle print in yellow and green.",1,4150,,,,
12/23/2022 10:59:25,PS-1-P2,OW1-PS-1,outfit > women > designer-blouse,Red-blouse,,1,440,,,,
12/23/2022 10:59:25,PB-1,OWA-PB-1,outfit > women > accessories,Accessories,,1,210,,,,
01/20/2023 19:00:04,CS-4-P2,OW1-CS-1,outfit > women > designer-blouse,,,1,834.6153846,,,,
01/20/2023 23:33:14,AM-1-P1,OW0-AM-1,outfit > women > saree,,,1,2490,,,,
